OBJECTID,fclass,FREQUENCY,COUNT_name
1,arts_centre,9,9
2,artwork,26,26
3,atm,44,44
4,bakery,70,70
5,bank,14,14
6,bar,74,74
7,beauty_shop,8,8
8,bench,552,552
9,beverages,16,16
10,bicycle_rental,16,16
11,bicycle_shop,24,24
12,biergarten,2,2
13,bookshop,11,11
14,butcher,6,6
15,cafe,157,157
16,camera_surveillance,48,48
17,car_dealership,1,1
18,car_rental,4,4
19,car_wash,2,2
20,chemist,10,10
21,cinema,9,9
22,clothes,58,58
23,college,2,2
24,community_centre,13,13
25,computer_shop,3,3
26,convenience,73,73
27,dentist,7,7
28,department_store,2,2
29,doctors,19,19
30,doityourself,5,5
31,drinking_water,2,2
32,fast_food,122,122
33,fire_station,1,1
34,florist,13,13
35,fountain,10,10
36,furniture_shop,6,6
37,gift_shop,6,6
38,greengrocer,1,1
39,hairdresser,82,82
40,hostel,3,3
41,hotel,9,9
42,jeweller,5,5
43,kindergarten,70,70
44,kiosk,35,35
45,laundry,12,12
46,library,4,4
47,memorial,68,68
48,mobile_phone_shop,15,15
49,museum,3,3
50,newsagent,1,1
51,nightclub,8,8
52,optician,4,4
53,pharmacy,35,35
54,picnic_site,1,1
55,pitch,56,56
56,playground,17,17
57,police,1,1
58,post_box,62,62
59,post_office,6,6
60,prison,1,1
61,pub,129,129
62,recycling,31,31
63,recycling_clothes,20,20
64,recycling_glass,9,9
65,restaurant,158,158
66,ruins,1,1
67,school,5,5
68,shelter,12,12
69,shoe_shop,10,10
70,sports_centre,4,4
71,sports_shop,1,1
72,stationery,4,4
73,supermarket,46,46
74,telephone,32,32
75,theatre,8,8
76,toilet,13,13
77,tourist_info,31,31
78,toy_shop,4,4
79,travel_agent,8,8
80,vending_any,36,36
81,vending_cigarette,1,1
82,vending_machine,32,32
83,veterinary,1,1
84,video_shop,1,1
85,viewpoint,6,6
86,waste_basket,333,333
87,water_well,59,59
