"";"za_nr";"doi";"version";"year";"respid";"ost_west";"german";"v12";"v19";"v20";"Authirtarn";"Authrit1";"Author3";"v125";"v126";"Author4";"v140";"v150";"v151";"v152";"v171";"v172";"v206";"v207";"Trustcourt";"TrustParl";"TrustMunicpl";"Trustarmy";"TrustJusticSys";"TrustGvt";"TrustPolice";"v237";"v238";"v239";"v240";"v241";"v242";"v243";"v244";"v245";"v246";"Proud";"Proud1";"Proud2";"v359";"v372";"v377";"v378";"v421";"v441";"v442";"v444";"v445";"v447";"v448";"v449";"v452";"v453";"v454";"v462";"v463";"v570";"v571";"v572";"v573";"v574";"v575";"v576";"v577";"v578";"v579";"religisness";"v617";"v618";"v619";"v620";"ReligLead";"TrueRelig";"Gd";"v625";"v626";"v627";"v628";"v635";"v636";"v637";"v638";"v639";"v640";"v641";"v642";"v643";"v644";"v645";"v646";"v647";"v665";"v670";"v672";"v673";"v674";"v681";"v688";"v725";"v726";"Age";"v730";"Sex";"Xtian";"Relig";"WrshpAttnd";"v741";"PrayFreq";"Student";"Employment";"v771";"Commute2";"v889";"v890";"Maritalstatus";"Immigrant1";"v1344";"v1374";"v1376";"v1377";"v1378";"v1379";"v1380";"v1381";"v1864";"v1865";"v1866";"v1910";"capipapi";"samptype";"splt80";"splt82";"splt88";"splt90";"splt94";"splt00";"splt06";"splt10";"splt12_1";"splt12_2";"splt12_3";"splt14_1";"splt14_2";"splt14_3";"wghtpt";"wghtpow";"wghtptow";"wghtht";"wghthow";"wghthtow";"FAC1_1"
"1";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";1;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"GOOD";NA;"F - LEFT";NA;NA;NA;NA;"TEND TO AGREE";"THIRD";"POSTMATERIALISTS";"FAIR SHARE";"UPPER MIDDLE CLASS";"..";NA;NA;"COMPLETELY DISAGREE";"COMPLETELY DISAGREE";"GREAT DEAL OF TRUST";"..";"..";NA;"..";"..";"..";"SELECTED";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"SELECTED";"NOT SELECTED";"ART AND LITERATURE";"SCIENTIFIC ACHIEVM.";"BASIC LAW";NA;"PRETTY STRONG IDENT.";"VERY STRONG IDENT.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"CAN TRUST MOST";NA;NA;63;"60-74 YEARS";"MALE";"NO AFFILIATION";NA;NA;"NEVER";NA;NA;"EMPLOYED, FULL-TIME";NA;NA;NA;NA;"MARRIED, COHABITING";"YES";NA;"HESSE";"500000 AND MORE";NA;NA;NA;"ZONE 1  ;>499999";NA;NA;2008028;NA;"SEVERAL TIMES A WEEK";"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;0,577021503666667;1,190217285;0,686780967480757;0,495563068946323
"2";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";2;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"PART GOOD, PART BAD";NA;"Z";NA;NA;NA;NA;"TEND TO AGREE";NA;NA;"VERY MUCH LESS";"MIDDLE CLASS";NA;NA;NA;"TEND TO AGREE";"TEND TO DISAGREE";NA;"..";"..";NA;NA;"..";"..";"NOT SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"NOT SELECTED";"ART AND LITERATURE";"ATHLETES";NA;NA;"VERY STRONG IDENT.";"WEAK IDENTIFICATION";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NEED TO BE CAREFUL";NA;NA;23;"18-29 YEARS";"MALE";"PROTESTANT<EKD>";NA;NA;"SEVERAL TIMES A YEAR";NA;NA;"EMPLOYED, FULL-TIME";NA;NA;15;"10-19 EMPL.";"NEVER MARRIED";"YES";NA;"BAVARIA";"100000-499999 INH.";NA;NA;NA;"ZONE 1  ;>499999";NA;NA;2008047;NA;"SEVERAL TIMES A WEEK";"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;1,731064511;1,190217285;2,06034290244227;NA
"3";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";3;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"PART GOOD, PART BAD";NA;NA;NA;NA;NA;NA;"COMPLETELY AGREE";"FOURTH";"MATERIAL. MIXED TYPE";"FAIR SHARE";"WORKING CLASS";"..";NA;NA;"COMPLETELY AGREE";"TEND TO DISAGREE";"..";"..";"..";NA;"..";"..";"..";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"ECONOMIC ACHIEVEMENT";NA;NA;NA;"PRETTY STRONG IDENT.";"PRETTY STRONG IDENT.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NEED TO BE CAREFUL";NA;NA;67;"60-74 YEARS";"FEMALE";"ROMAN CATHOLIC";NA;NA;"ONCE A DAY";NA;NA;"NOT WORKING";"RETIRED";NA;NA;NA;"MARRIED, COHABITING";"YES";NA;"BAVARIA";"2000-4999 INH.";NA;NA;NA;"ZONE 2-4;<100000";NA;NA;2008052;NA;NA;"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;0,8655322555;1,190217285;1,03017145122114;-0,823020134496207
"4";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";4;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"PART GOOD, PART BAD";NA;NA;NA;NA;NA;NA;"TEND TO AGREE";"SECOND";"MATERIALISTS";"VERY MUCH LESS";"WORKING CLASS";"..";NA;NA;"COMPLETELY DISAGREE";"COMPLETELY AGREE";"GREAT DEAL OF TRUST";"GREAT DEAL OF TRUST";"GREAT DEAL OF TRUST";NA;"GREAT DEAL OF TRUST";"GREAT DEAL OF TRUST";"GREAT DEAL OF TRUST";"NOT PROUD OF ANY";"NOT PROUD OF ANY";"NOT PROUD OF ANY";"NOT PROUD OF ANY";"NOT PROUD OF ANY";"NOT PROUD OF ANY";"NOT PROUD OF ANY";NA;NA;NA;NA;"PRETTY STRONG IDENT.";"PRETTY STRONG IDENT.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"CAN TRUST MOST";NA;NA;33;"30-44 YEARS";"FEMALE";"NO AFFILIATION";NA;NA;NA;NA;NA;"NOT WORKING";"HOUSEWIFE, -HUSBAND";NA;NA;NA;"NEVER MARRIED";"YES";NA;"NORTH RHINE WESTPHA.";"50000-99999 INH.";NA;NA;NA;"ZONE 2-4;>499999";NA;NA;2008117;NA;NA;"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;1,731064511;1,190217285;2,06034290244227;2,45714733675297
"5";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";5;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"GOOD";NA;"G";NA;NA;NA;NA;"COMPLETELY AGREE";"FOURTH";"POSTMATERIALISTS";"FAIR SHARE";"MIDDLE CLASS";"..";NA;NA;"TEND TO DISAGREE";"TEND TO DISAGREE";"..";"..";"GREAT DEAL OF TRUST";NA;"..";"..";"..";"SELECTED";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"SELECTED";"BASIC LAW";"SOC.WELFARE ACHIEVM.";"SCIENTIFIC ACHIEVM.";NA;"PRETTY STRONG IDENT.";"VERY STRONG IDENT.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"IT DEPENDS";NA;NA;64;"60-74 YEARS";"FEMALE";"ROMAN CATHOLIC";NA;NA;NA;NA;NA;"NOT WORKING";"HOUSEWIFE, -HUSBAND";NA;NA;NA;"MARRIED, COHABITING";"YES";NA;"BAVARIA";"50000-99999 INH.";NA;NA;NA;"ZONE 1  ;<500000";NA;NA;2008044;NA;"AT LEAST 1X A MONTH";"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;0,8655322555;1,190217285;1,03017145122114;0,607731077648589
"6";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";6;"NEW FEDERAL STATES";"YES, EXCLUSIVELY";"PART GOOD, PART BAD";NA;"G";NA;NA;NA;NA;"TEND TO AGREE";"FOURTH";"POSTMAT. MIXED TYPE";"FAIR SHARE";"MIDDLE CLASS";"..";NA;NA;"COMPLETELY DISAGREE";"COMPLETELY DISAGREE";"..";"..";"..";NA;"..";"..";"..";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"SELECTED";"SELECTED";"NOT SELECTED";"SCIENTIFIC ACHIEVM.";"ART AND LITERATURE";"ECONOMIC ACHIEVEMENT";NA;"WEAK IDENTIFICATION";"WEAK IDENTIFICATION";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"IT DEPENDS";NA;NA;24;"18-29 YEARS";"MALE";"PROTESTANT<EKD>";NA;NA;"LESS THAN 1X A YEAR";NA;NA;"EMPLOYED, FULL-TIME";NA;NA;NA;NA;"NEVER MARRIED";"YES";NA;"SAXONY-ANHALT";"UP TO 1999 INHAB.";NA;NA;NA;"ZONE 2-4;<100000";NA;NA;2008074;NA;"AT LEAST 1X A WEEK";"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";0,59300946;0,59300946;0,562140376;0,589597235;0,33143641137146;-0,0815473250268793
"7";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";7;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"BAD";NA;"Z";NA;NA;NA;NA;"COMPLETELY AGREE";"MOST IMPORTANT";"MATERIAL. MIXED TYPE";"VERY MUCH LESS";"WORKING CLASS";"..";NA;NA;"TEND TO AGREE";"TEND TO DISAGREE";"..";"..";"..";NA;"..";"..";"..";"NOT SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"ATHLETES";"SCIENTIFIC ACHIEVM.";NA;NA;"WEAK IDENTIFICATION";"WEAK IDENTIFICATION";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NEED TO BE CAREFUL";NA;NA;76;"75-89 YEARS";"MALE";"ROMAN CATHOLIC";NA;NA;NA;NA;NA;"NOT WORKING";"RETIRED";NA;NA;NA;"MARRIED, COHABITING";"YES";NA;"BAVARIA";"UP TO 1999 INHAB.";NA;NA;NA;"5000-19999 INH.";NA;NA;2008042;NA;NA;"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;0,577021503666667;1,190217285;0,686780967480757;-1,28710276875416
"8";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";8;"OLD FEDERAL STATES";"NO";"PART GOOD, PART BAD";NA;"I";NA;NA;NA;NA;"COMPLETELY DISAGREE";NA;"MATERIAL. MIXED TYPE";"VERY MUCH LESS";"MIDDLE CLASS";"..";NA;NA;"TEND TO AGREE";"TEND TO DISAGREE";NA;"NO TRUST AT ALL";"..";NA;"..";"NO TRUST AT ALL";"NO TRUST AT ALL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"VERY STRONG IDENT.";"PRETTY STRONG IDENT.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"IT DEPENDS";NA;NA;54;"45-59 YEARS";"FEMALE";"NON-CHRIST.RELIGION";"ISLAMIC";NA;"ONCE A DAY";NA;NA;"EMPLOYED, FULL-TIME";NA;NA;58;"50-99 EMPL.";"MARRIED, COHABITING";"NO";NA;"BREMEN";"500000 AND MORE";NA;NA;NA;"ZONE 1  ;>499999";NA;NA;2008104;NA;NA;"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;0,8655322555;1,190217285;1,03017145122114;NA
"9";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";9;"OLD FEDERAL STATES";"YES, EXCLUSIVELY";"PART GOOD, PART BAD";NA;"Y";NA;NA;NA;NA;"COMPLETELY AGREE";"MOST IMPORTANT";"MATERIALISTS";"SOMEWHAT LESS";"WORKING CLASS";"..";NA;NA;"TEND TO DISAGREE";"COMPLETELY DISAGREE";"..";"..";"..";NA;"..";"..";"GREAT DEAL OF TRUST";"SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"BASIC LAW";"ECONOMIC ACHIEVEMENT";"SOC.WELFARE ACHIEVM.";NA;"PRETTY STRONG IDENT.";"WEAK IDENTIFICATION";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"CAN TRUST MOST";NA;NA;37;"30-44 YEARS";"MALE";"PROTESTANT<EKD>";NA;NA;NA;NA;NA;"EMPLOYED, FULL-TIME";NA;NA;5;"5-9 EMPL.";"MARRIED, COHABITING";"YES";NA;"BAVARIA";"5000 -19999 INH.";NA;NA;NA;"ZONE 2-4;>499999";NA;NA;2008046;NA;NA;"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";1,18324783;1,18324783;0,8655322555;1,190217285;1,03017145122114;0,568625958620922
"10";"GGSS 1980-2014";"doi:10.4232/1.12574";"1.0.0 (2016-09-27)";"STUDY NO. 4600/4602";10;"NEW FEDERAL STATES";"YES, EXCLUSIVELY";"VERY BAD";NA;"A";NA;NA;NA;NA;"COMPLETELY DISAGREE";"SECOND";"POSTMAT. MIXED TYPE";"VERY MUCH LESS";"MIDDLE CLASS";"..";NA;NA;"COMPLETELY DISAGREE";"COMPLETELY DISAGREE";"NO TRUST AT ALL";"NO TRUST AT ALL";"NO TRUST AT ALL";NA;"NO TRUST AT ALL";"NO TRUST AT ALL";"NO TRUST AT ALL";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"NOT SELECTED";"SELECTED";"NOT SELECTED";"NOT SELECTED";"ART AND LITERATURE";NA;NA;NA;"WEAK IDENTIFICATION";"WEAK IDENTIFICATION";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NEED TO BE CAREFUL";NA;NA;78;"75-89 YEARS";"FEMALE";"NO AFFILIATION";NA;NA;NA;NA;NA;"NOT WORKING";"RETIRED";NA;NA;NA;"WIDOWED";"YES";NA;"FORMER EAST-BERLIN";"500000 AND MORE";NA;NA;NA;"ZONE 1  ;>499999";NA;NA;2008134;NA;NA;"CAPI";"S. OF INDIVIDUALS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NAP;NOT AVAILABLE";0,59300946;0,59300946;1,686421128;0,589597235;0,994309234114381;-2,92463274764484
